CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10030,22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,12
C10031,12136.21996,1,3038.01,1013.2,2024.81,3183.583301,1,0.166667,1,0.5,10,64,13000,4230.323491,3292.01503,0,12
C10032,1162.273324,1,1347.71,400,947.71,175.815755,1,0.083333,1,0.166667,2,45,6000,645.998299,256.848991,0,12
C10033,6732.823064,1,324.95,324.95,0,1189.533753,0.083333,0.083333,0,0.166667,3,3,10500,1720.118876,2506.745366,0,12
C10034,125.660453,1,636.79,636.79,0,0,0.916667,0.916667,0,0,0,11,1200,423.449696,196.301885,0.3,12
C10035,3517.101616,0.727273,547.28,0,547.28,0,1,0,1,0,0,14,11000,8735.607835,17862.55831,0,12
C10036,1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,12
C10037,7427.076941,1,0,0,0,8873.375046,0,0,0,0.727273,11,0,9000,1636.361601,1986.843608,0,11
C10038,4047.480828,1,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12
C10039,6269.418144,1,204,204,0,2925.699862,0.083333,0.083333,0,0.333333,12,2,9000,1237.111661,2049.408839,0,12
C10040,1411.60223,0.454545,963.24,963.24,0,6173.682877,0.083333,0.083333,0,0.333333,6,6,7500,20071.07544,719.948985,0.333333,12
C10041,663.44781,0.727273,0,0,0,3133.063934,0,0,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12
C10044,4104.710798,1,203.82,203.82,0,0,0.083333,0.083333,0,0,0,1,4500,868.275275,1801.264841,0,12
C10045,1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,12
C10046,5315.945594,1,1525.44,469.8,1055.64,0,1,0.333333,1,0,0,20,8500,1430.341501,1318.71492,0,12
C10047,2242.311686,1,437,97,340,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400,0,,0,12
C10048,474.447149,0.5,109.74,0,109.74,1013.659552,0.375,0,0.25,0.125,1,3,1700,176.013005,147.199792,0,8
C10049,3910.111237,1,0,0,0,1980.873201,0,0,0,0.5,7,0,4200,0,,0,12
C10050,229.867179,1,2390.6,1402.93,987.67,0,1,0.666667,1,0,0,87,3300,2543.953559,175.657825,0.916667,12
C10051,863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12
C10052,4931.331857,1,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000,8113.297346,1012.415961,0,8
C10053,1078.888565,1,3107.85,2221.74,886.11,0,0.666667,0.583333,0.5,0,0,18,2500,1399.82834,1322.446601,0,12
C10054,1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,12
C10055,464.674156,0.888889,1979.22,1979.22,0,1981.265503,0.666667,0.666667,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9
C10056,6.660517,0.636364,310,0,310,0,0.666667,0,0.666667,0,0,8,1000,417.016763,,0,12
C10057,1311.995984,1,1283.9,1283.9,0,0,0.25,0.25,0,0,0,6,6000,0,,0,12
C10058,3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,,0,12
C10059,2386.330629,1,5217.62,4789.09,428.53,0,0.916667,0.916667,0.5,0,0,42,7500,5678.729613,1311.514878,0.083333,12
C10060,3971.138765,1,0,0,0,224.575517,0,0,0,0.181818,3,0,4000,764.938728,1600.212243,0,11
C10061,5493.90406,1,229,0,229,970.591332,0.416667,0,0.333333,0.333333,4,6,6000,2110.557023,1895.02617,0,12
C10062,1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12
C10063,1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12
C10064,809.582978,0.909091,0,0,0,3819.672466,0,0,0,0.545455,7,0,4150,4372.148648,241.645387,0.090909,11
C10065,7.152356,0.090909,840,840,0,0,0.083333,0.083333,0,0,0,1,1600,0,,0,12
C10067,1923.886805,1,1887.64,0,1887.64,1605.949371,1,0,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12
C10068,1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12
